date,stock1,stock2,stock3,stock4,lot1,lot2,lot3,lot4,value1,value2,value3,value4,stock_value_total,cash,accrued_fee,nav,is_rebalance,is_payfee
2020-10-15,4572,851607,2572066,1232815,27,18,8,2,55908.840599999996,48430.243800000004,54678.318400000004,37069.835399999996,196087.23819999996,19073.19159814917,62.98706747825905,215097.44273067088,False,False
2020-10-16,4572,851607,2572066,1232815,27,18,8,2,55669.0023,48341.5434,54169.9784,36838.692200000005,195019.21630000003,19073.19159814917,63.280258465698324,214029.12763968346,False,False
2020-10-17,4572,851607,2572066,1232815,27,18,8,2,55669.0023,48341.5434,54169.9784,36838.692200000005,195019.21630000003,19073.19159814917,63.57344905150611,214028.83444909766,False,False
2020-10-18,4572,851607,2572066,1232815,27,18,8,2,55669.0023,48341.5434,54169.9784,36838.692200000005,195019.21630000003,19073.19159814917,63.86663923568295,214028.54125891346,False,False
2020-10-19,4572,851607,2572066,1232815,27,18,8,2,55242.623700000004,48146.4036,54011.1224,36656.9386,194057.0883,19073.19159814917,64.15851103466777,213066.1213871145,False,False
2020-10-20,4572,851607,2572066,1232815,27,18,8,2,56361.868200000004,48341.5434,54090.55039999999,36686.5724,195480.5344,19073.19159814917,64.45233235999258,214489.27366578914,False,False
2020-10-21,4572,851607,2572066,1232815,27,18,8,2,53910.192599999995,48137.5332,53065.928,36451.477999999996,191565.13179999997,19073.19159814917,64.74078971761695,210573.58260843152,False,False
2020-10-22,4572,851607,2572066,1232815,27,18,8,2,53723.6523,48252.843,53113.584800000004,36437.649,191527.72910000003,19073.19159814917,65.02919544351892,210535.89150270564,False,False
2020-10-23,4572,851607,2572066,1232815,27,18,8,2,53883.5436,48306.0636,53526.610400000005,36350.7232,192066.9408,19073.19159814917,65.31833942050892,211074.81405872866,False,False
2020-10-24,4572,851607,2572066,1232815,27,18,8,2,53883.5436,48306.0636,53526.610400000005,36350.7232,192066.9408,19073.19159814917,65.60748300141128,211074.52491514778,False,False
2020-10-25,4572,851607,2572066,1232815,27,18,8,2,53883.5436,48306.0636,53526.610400000005,36350.7232,192066.9408,19073.19159814917,65.89662618622656,211074.23577196294,False,False
2020-10-26,4572,851607,2572066,1232815,27,18,8,2,52764.3018,47738.3832,53042.0992,35572.3436,189117.1278,19073.19159814917,66.18172813522925,208124.13767001394,False,False
2020-10-27,4572,851607,2572066,1232815,27,18,8,2,52364.5722,48820.523400000005,54503.576799999995,35449.8576,191138.52999999997,19073.19159814917,66.46959873779092,210145.25199941138,False,False
2020-10-28,4572,851607,2572066,1232815,27,18,8,2,51565.113,47685.162599999996,53669.581600000005,34305.995,187225.8522,19073.19159814917,66.75210911340655,206232.29168903577,False,False
2020-10-29,4572,851607,2572066,1232815,27,18,8,2,52631.0595,48518.9442,52819.7008,35153.5202,189123.2247,19073.19159814917,67.03721824243263,208129.3790799067,False,False
2020-10-30,4572,851607,2572066,1232815,27,18,8,2,52124.7339,47011.0428,50484.513600000006,34562.820799999994,184183.11109999998,19073.19159814917,67.31555970199415,203188.98713844715,False,False
2020-10-31,4572,851607,2572066,1232815,27,18,8,2,52124.7339,47011.0428,50484.513600000006,34562.820799999994,184183.11109999998,19073.19159814917,67.593900780266,203188.7087973689,False,False
2020-11-01,4572,851607,2572066,1232815,27,18,8,2,52124.7339,47011.0428,50484.513600000006,34562.820799999994,184183.11109999998,19073.19159814917,67.87224147724869,203188.4304566719,False,False
2020-11-02,4572,851607,2572066,1232815,27,18,8,2,53057.435399999995,47011.0428,50857.825600000004,34831.5002,185757.804,19073.19159814917,68.15273890650441,204762.84285924266,False,False
2020-11-03,4572,851607,2572066,1232815,27,18,8,2,53697.0033,48004.4844,51564.736000000004,35556.539,188822.7627,19073.19159814917,68.43743452507871,207827.51686362404,False,False
2020-11-04,4572,851607,2572066,1232815,27,18,8,2,53004.140100000004,49565.6046,53129.470400000006,36860.4236,192559.63870000004,19073.19159814917,68.7272487618782,211564.10304938728,False,False
2020-11-05,4572,851607,2572066,1232815,27,18,8,2,56734.948800000006,50683.2264,55710.884,38324.3304,201453.3896,19073.19159814917,69.02924582208284,220457.55195232708,False,False
